tconst	originalTitle	directors	runtimeMinutes
tt0022093	Love in High Gear	nm0833965	66
tt0022125	Marius	nm0466099	130
tt0022130	Meet the Wife	nm0668972	73
tt0022142	Merely Mary Ann	nm0454771	74
tt0022191	The Naughty Flirt	nm0166836	56
tt0022198	New Adventures of Get-Rich-Quick Wallingford	nm0939992	95
tt0022246	Palmy Days	nm0840042	77
tt0022259	Peach O'Reno	nm0782682	63
tt0022263	Le petit café	nm0003490	85
tt0022268	Platinum Blonde	nm0001008	89
tt0022273	Politics	nm0718469	73
tt0022279	Private Lives	nm0291548	84
tt0022332	The Runaround	nm0185714	82
tt0022376	Shipmates	nm0689471	72
tt0022404	Smart Woman	nm0478441	68
tt0022409	A Soldier's Plaything	nm0002031	56
tt0022437	Strictly Dishonorable	nm0821472	91
tt0022478	This Modern Age	nm0342417	68
tt0022489	Tonight or Never	nm0503777	80
tt0022491	Too Many Cooks	nm0782682	77
tt0022539	Virtuous Husband	nm0602009	75
tt0022553	Wer nimmt die Liebe ernst...?	nm0257068	91
tt0022628	The Animal Kingdom	nm0341486,nm0002030	85
tt0022649	Bachelor's Affairs	nm0921288	64
tt0022675	The Big Broadcast	nm0878338	80
tt0022686	Mr. Bill the Conqueror	nm0908076	87
tt0022699	Ein blonder Traum	nm0552871	98
tt0022746	Careless Lady	nm0533247	68
tt0022770	The Cohens and Kellys in Hollywood	nm0227020	75
tt0022882	Fast Life	nm0689471,nm0939992	82
tt0022943	Girl of the Rio	nm0107543	78
tt0022971	The Half-Naked Truth	nm0478441	77
tt0022986	Goryachie denyochki	nm0451576,nm0953516	90
tt0023015	Hollywood Lights	nm0000779	20
tt0023016	Hollywood Luck	nm0000779	21
tt0023027	Horse Feathers	nm0572851	68
tt0023046	Ich bei Tag und du bei Nacht	nm0003490	98
tt0023055	The Impatient Maiden	nm0001843	80
tt0023074	Jewel Robbery	nm0226189	68
tt0023088	The Kid from Spain	nm0564970	96
tt0023110	Lady with a Past	nm0341486	80
tt0023154	Love Among the Millionaires	nm0878338	74
tt0023158	Love Me Tonight	nm0541149	104
tt0023165	The Lucky Number	nm0002190	72
tt0023175	Make Me a Star	nm0064415	86
tt0023180	Man Wanted	nm0226189	62
tt0023202	Me and My Gal	nm0909825	79
tt0023213	Merrily We Go to Hell	nm0002188	78
tt0023241	Movie Crazy	nm0115669,nm0516001	84
